paper_dir,step1_label,final_label,final_dims,ocr_dims,task_dims,task_csv_dims,task_md_dims,dimension_source,confidence,ocr_evidence,task_evidence,notes
BIBLIOTHEQUE/05_ML-FNDTNS/The Power of Scale for Parameter-Efficient Prompt Tuning,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=0D; 1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/The Quantization Model of Neural Scaling,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/The Rotary Position Embedding May Cause Dimension Inefficiency,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Toy Models of Superposition,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Training Compute-Optimal Large Language Models (Chinchilla),transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=0D; 1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/Training data-efficient image transformers & distillation through attention,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.md:7:| Image classification | Images | 2D (x, y) (inferred) | Fixed | Static (inferred) | Direct (inferred) | Class label | 0D (inferred) | Fixed (inferred) |",
BIBLIOTHEQUE/05_ML-FNDTNS/Training language models to follow instructions with human feedback (InstructGPT - RLHF pipeline),hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Transformer Language Models without Positional Encodings Still Learn Positional Information,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Understanding the RoPE Extensions of Long-Context LLMs,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/UNITER- Universal Image-Text Representation Learning,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred); 2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Unsupervised Neural Machine Translation with Generative Language Models Only,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/Value-Based Pre-Training with Downstream Feedback,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/VG4D- Vision-Language Model Goes 4D Video Recognition,transformer_yes,multi-D,1D;3D;4D,,1D;3D;4D,1D;3D;4D,1D;3D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=4D (x, y, z, t); 3D (x, y, z) or (x, y, t) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:4:in_dimension=4D (x, y, z, t); 3D (x, y, z) or (x, y, t) (inferred); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/VideoCLIP- Contrastive Pretraining for Zero-Shot Video-Text Understanding,hybrid_transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t); 3D (x, y, t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, t); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Visual Instruction Tuning,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 1D (t) (inferred)",
"BIBLIOTHEQUE/05_ML-FNDTNS/Vokenization- Improving Language Understanding with Contextualized, Visual-Grounded Supervision",transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/WALRUS- A Cross-Domain Foundation Model for Continuum Dynamics,transformer_yes,multi-D,2D;3D;4D,,2D;3D;4D,2D;3D;4D,2D;3D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, t); 4D (x, y, z, t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y); 3D (x, y, z) (inferred) | TASK-DOMAINS.md:7:| Continuum dynamics emulation / next-step prediction | Short sequence of continuum state snapshots across physical systems | 3D (x, y, t); 4D (x, y, z, t) (inferred) ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Weak-to-Strong Generalization- Eliciting Strong Capabilities With Weak Supervision,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/What matters when building vision-language models- (Idefics2),transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/XLNet- Generalized Autoregressive Pretraining for Language Understanding,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Zephyr- Direct Distillation of LM Alignment,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/ZeRO- Memory Optimizations Toward Training Trillion Parameter Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Language modeling | Token sequences (text) (inferred) | 1D (t) (inferred) | Capped (inferred) | Not specified in the paper. | Not specified in the paper. | Next-toke...,
BIBLIOTHEQUE/05_ML-FNDTNS/Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D),transformer_yes,multi-D,1D;4D,,1D;4D,1D;4D,1D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=4D (x, y, z, t); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=4D (x, y, z, t) | TASK-DOMAINS.md:7:| Joint segmentation, tracking, and zero-shot recognition (Zero-Shot 4D Lidar Panoptic Segmentation) | 4D Lidar point cloud sequences; optional semantic vocabulary tex...",
