paper_dir,class_code,A_hits,B_hits,C_hits,D_hits,label,confidence,evidence_lines,notes
BIBLIOTHEQUE/05_ML-FNDTNS/Neural Message Passing for Quantum Chemistry,ML-FNDTNS,0,0,0,4,transformer_no,medium,"D@75: The message function used is $M_t(h_v^t, h_w^t, e_{vw}) = A_{e_{vw}} h_w^t$ , where $A_{e_{vw}}$ is a learned matrix, one for each edge l...",
BIBLIOTHEQUE/05_ML-FNDTNS/Neural Program Meta-Induction,ML-FNDTNS,0,0,1,5,transformer_no,medium,"D@59: For the Karel domain, we use a simple architecture shown on the left side of Figure 2. The input feature map are an 16-dimensional vector...",
BIBLIOTHEQUE/05_ML-FNDTNS/Neuronlike Adaptive Elements That Can Solve Difficult Learning Control Problems,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/On neural scaling and the quanta hypothesis,ML-FNDTNS,37,1,29,0,transformer_yes,high,"A@11: theory backing this experiment. And the number of people working on such a theory in when we train neural networks, like large language m... | B@217: 0.2 One-layer model Models with more than one layer has no induction heads. have induction heads form during phase change Figure from ""In...",
"BIBLIOTHEQUE/05_ML-FNDTNS/On the difficulty of training recurrent neural networks (Pascanu, Mikolov & Bengio)",ML-FNDTNS,0,0,0,11,transformer_no,medium,"D@21: A recurrent neural network (RNN), e.g. Fig. 1, is a neural network model proposed in the 80's (Rumelhart et al., 1986; Elman, 1990; Werbo...",
BIBLIOTHEQUE/05_ML-FNDTNS/On-line Q-learning Using Connectionist Systems,ML-FNDTNS,0,0,0,44,transformer_no,medium,D@1: # ON-LINE Q-LEARNING USING CONNECTIONIST SYSTEMS,
BIBLIOTHEQUE/05_ML-FNDTNS/One-Shot Imitation Learning,ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@104: **Attention over demonstration**: The context network starts by computing a query vector as a function of the current state, which is the...",
"BIBLIOTHEQUE/05_ML-FNDTNS/One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET)",ML-FNDTNS,26,1,3,0,transformer_yes,high,"A@14: Diffusion models excel at producing high-quality samples but naively require hundreds of iterations, prompting multiple attempts to disti... | B@106: where $\mathbf{W}_q, \mathbf{W}_k \in \mathbb{R}^{D \times D}$ are slices from $\mathbf{W}_i$ , and $\mathbf{u}_q, \mathbf{u}_k \in \math...",
BIBLIOTHEQUE/05_ML-FNDTNS/Open3DIS- Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance,ML-FNDTNS,1,0,0,0,transformer_yes,high,"A@145: Implementation Details. To process ScanNet200 and S3DIS scans efficiently, we downsampled the RGB-D frames by a factor of 10. Our approac...",
BIBLIOTHEQUE/05_ML-FNDTNS/Order Matters- Sequence to sequence for sets,ML-FNDTNS,0,0,1,24,transformer_no,medium,"D@15: Deep architectures have shown in the last few years that they often yield state-of-the-art performance on several tasks, ranging from ima...",
BIBLIOTHEQUE/05_ML-FNDTNS/OSCAR- Object-Semantics Aligned Pre-training for Vision-Language Tasks,ML-FNDTNS,14,5,7,6,hybrid_transformer_yes,high,"A@17: These VLP models are based on multi-layer Transformers [39]. To pre-train such models, existing methods simply concatenate image region f... | B@9: Abstract. Large-scale pre-training methods of learning cross-modal representations on image-text pairs are becoming popular for vision-la... | D@45: Though intuitive and effective, existing VLP methods suffer from two issues: (i) Ambiguity. The visual region features are usually extrac...",
BIBLIOTHEQUE/05_ML-FNDTNS/Parameter-Efficient Transfer Learning for NLP,ML-FNDTNS,27,0,1,0,transformer_yes,high,"A@7: Fine-tuning large pre-trained models is an effective transfer mechanism in NLP. However, in the presence of many downstream tasks, fine-t...",
BIBLIOTHEQUE/05_ML-FNDTNS/Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer),ML-FNDTNS,20,0,1,8,hybrid_transformer_yes,high,A@19: To address both questions we propose a simple **MaskFormer** approach that seamlessly converts any existing per-pixel classification mode... | D@15: Mask classification is an alternative paradigm that disentangles the image partitioning and classification aspects of segmentation. Inste...,
BIBLIOTHEQUE/05_ML-FNDTNS/Policy Distillation,ML-FNDTNS,0,0,0,37,transformer_no,medium,"D@11: Policies for complex visual tasks have been successfully learned with deep reinforcement learning, using an approach called deep Q-networ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Policy Gradient Methods for Reinforcement Learning with Function Approximation,ML-FNDTNS,0,0,0,9,transformer_no,medium,D@1: # Policy Gradient Methods for Reinforcement Learning with Function Approximation,
BIBLIOTHEQUE/05_ML-FNDTNS/Predictability and Surprise in Large Generative Models,ML-FNDTNS,4,0,2,0,transformer_yes,high,"A@5: Large-scale pre-training has recently emerged as a technique for creating capable, general-purpose, generative models such as GPT-3, Mega...",
BIBLIOTHEQUE/05_ML-FNDTNS/Prefix-Tuning- Optimizing Continuous Prompts for Generation,ML-FNDTNS,27,0,2,1,transformer_yes,high,"A@13: Fine-tuning is the de facto way to leverage large pretrained language models to perform downstream tasks. However, it modifies all the la... | D@47: Continuous vectors have been used to steer language models; for example, Subramani et al. (2020) showed that a pretrained LSTM language m...",
BIBLIOTHEQUE/05_ML-FNDTNS/Prioritized Experience Replay,ML-FNDTNS,0,0,0,19,transformer_no,medium,"D@9: Experience replay lets online reinforcement learning agents remember and reuse experiences from the past. In prior work, experience trans...",
BIBLIOTHEQUE/05_ML-FNDTNS/Proximal Policy Optimization Algorithms,ML-FNDTNS,0,0,0,19,transformer_no,medium,"D@7: We propose a new family of policy gradient methods for reinforcement learning, which alternate between sampling data through interaction ...",
BIBLIOTHEQUE/05_ML-FNDTNS/QLoRA- Efficient Finetuning of Quantized LLMs,ML-FNDTNS,40,0,0,0,transformer_yes,high,A@1: # **QLoRA: Efficient Finetuning of Quantized LLMs**,
BIBLIOTHEQUE/05_ML-FNDTNS/R-PRM- Reasoning-Driven Process Reward Modeling,ML-FNDTNS,18,0,1,0,transformer_yes,high,A@13: Process Reward Models (PRMs) have emerged as a promising solution to address the reasoning mistakes of large language models (LLMs). Howe...,
BIBLIOTHEQUE/05_ML-FNDTNS/Rainbow- Combining Improvements in Deep Reinforcement Learning,ML-FNDTNS,0,0,0,45,transformer_no,medium,"D@9: The deep reinforcement learning community has made several independent improvements to the DQN algorithm. However, it is unclear which of...",
BIBLIOTHEQUE/05_ML-FNDTNS/Recurrent Experience Replay in Distributed Reinforcement Learning (R2D2),ML-FNDTNS,0,0,20,28,transformer_no,medium,"D@9: Building on the recent successes of distributed training of RL agents, in this paper we investigate the training of RNN-based RL agents f...",
BIBLIOTHEQUE/05_ML-FNDTNS/Recurrent neural network based language model (Mikolov et al.),ML-FNDTNS,0,0,2,34,transformer_no,medium,D@3: # Recurrent neural network based language model,
BIBLIOTHEQUE/05_ML-FNDTNS/Recurrent Neural Network Regularization,ML-FNDTNS,0,0,0,33,transformer_no,medium,D@1: # RECURRENT NEURAL NETWORK REGULARIZATION,
BIBLIOTHEQUE/05_ML-FNDTNS/Reinforcement Learning via Self-Distillation,ML-FNDTNS,12,0,19,6,transformer_yes,high,"A@10: Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. Yet, current... | D@28: credit assignment. Most current approaches operate in the setting of reinforcement learning with verifiable rewards (RLVR): given a quest...",
BIBLIOTHEQUE/05_ML-FNDTNS/Relative Entropy Policy Search (REPS),ML-FNDTNS,0,0,0,12,transformer_no,medium,"D@9: Policy search is a successful approach to reinforcement learning. However, policy improvements often result in the loss of information. H...",
BIBLIOTHEQUE/05_ML-FNDTNS/Release Strategies and the Social Impacts of Language Models,ML-FNDTNS,81,0,1,1,transformer_yes,high,"A@32: | 4 | Social Impacts of Large Language Models | 5 | | D@307: <sup>&</sup>lt;sup>22</sup>For example, the top 15 domains inside the 'WebText' data on which GPT-2 was trained are (in order): Google, A...",
BIBLIOTHEQUE/05_ML-FNDTNS/Repeated Examples Help Learn Arithmetic,ML-FNDTNS,7,0,1,0,transformer_yes,high,"A@13: We study small transformers trained on two problems of arithmetic: the greatest common divisor (GCD) and modular multiplication, and show...",
BIBLIOTHEQUE/05_ML-FNDTNS/Rethinking Visual Intelligence- Insights from Video Pretraining,ML-FNDTNS,37,0,3,0,transformer_yes,high,A@9: Large language models (LLMs) have demonstrated that large-scale pretraining enables systems to adapt rapidly to new problems with little ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Reward learning from human preferences and demonstrations in Atari,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Robust Speech Recognition via Large-Scale Weak Supervision,ML-FNDTNS,5,0,4,0,transformer_yes,high,"A@61: Since the focus of our work is on studying the capabilities of large-scale supervised pre-training for speech recognition, we use an off-...",
BIBLIOTHEQUE/05_ML-FNDTNS/Safe and Efficient Off-Policy Reinforcement Learning (Retrace(lambda)),ML-FNDTNS,0,0,0,3,transformer_no,medium,D@243: Figure 1: Inter-algorithm score distribution for $\lambda$ -return ( $\lambda = 1$ ) variants and Q-Learning ( $\lambda = 0$ ).,
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling and evaluating sparse autoencoders,ML-FNDTNS,21,0,13,0,transformer_yes,high,A@13: Sparse autoencoders provide a promising unsupervised approach for extracting interpretable features from a language model by reconstructi...,
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Embedding Layers in Language Models,ML-FNDTNS,19,0,34,0,transformer_yes,high,"A@15: However, scaling the embedding layer by simply increasing the token vocabulary size has limited benefits. A larger vocabulary also enlarg...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Embeddings Outperforms Scaling Experts in Language Models,ML-FNDTNS,5,0,9,1,hybrid_transformer_yes,high,"A@9: While Mixture-of-Experts (MoE) architectures have become the standard for sparsity scaling in large language models, they increasingly fa... | D@58: In contrast to MoE, the embedding layer offers an overlooked, inherently sparse dimension with O(1) lookup complexity. This allows for ma...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Instructable Agents Across Many Simulated Worlds (SIMA),ML-FNDTNS,6,0,0,0,transformer_yes,high,"A@13: Despite the impressive capabilities of large language models (Brown et al., 2020; Hoffmann et al., 2022; OpenAI, 2023; Anil et al., 2023;...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Laws and Interpretability of Learning from Repeated Data,ML-FNDTNS,14,0,12,0,transformer_yes,high,"A@15: Recent large language models have been trained on vast datasets, but also often on repeated data, either intentionally for the purpose of...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Laws for Autoregressive Generative Modeling,ML-FNDTNS,27,3,13,0,transformer_yes,high,"A@17: We identify empirical scaling laws for the cross-entropy loss in four domains: generative image modeling, video modeling, multimodal imag... | B@158: In every domain we use decoder-only transformer models trained using an autoregressive cross-entropy loss. For many models we use a spars...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Laws for Neural Language Models,ML-FNDTNS,33,1,20,4,hybrid_transformer_yes,high,"A@26: Contributions: Jared Kaplan and Sam McCandlish led the research. Tom Henighan contributed the LSTM experiments. Tom Brown, Rewon Child, a... | B@119: These relations hold across eight orders of magnitude in $C_{\min}$ , six orders of magnitude in N, and over two orders of magnitude in D... | D@26: Contributions: Jared Kaplan and Sam McCandlish led the research. Tom Henighan contributed the LSTM experiments. Tom Brown, Rewon Child, a...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data,ML-FNDTNS,30,2,13,0,transformer_yes,high,A@3: # Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data | B@94: The target patches are unpatchified to get the target image $T \in R^{H \times W \times 3}$ (see Figure 2). The training is supervised us...,
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Up Vision-Language Learning With Noisy Text Supervision (ALIGN),ML-FNDTNS,18,2,2,0,transformer_yes,high,"A@83: We pre-train ALIGN using a dual-encoder architecture. The model consists of a pair of image and text encoders with a cosine-similarity co... | B@39: advanced models emerge with cross-modal attention layers (Liu et al., 2019a; Lu et al., 2019; Chen et al., 2020c; Huang et al., 2020b) an...",
BIBLIOTHEQUE/05_ML-FNDTNS/Segment Anything,ML-FNDTNS,15,5,12,1,transformer_yes,high,"A@17: Large language models pre-trained on web-scale datasets are revolutionizing NLP with strong zero-shot and few-shot generalization [10]. T... | B@83: Mask decoder. The mask decoder efficiently maps the image embedding, prompt embeddings, and an output token to a mask. This design, inspi... | D@236: We compute the standard average recall (AR) metric on LVIS v1 [44]. We focus on LVIS because its large number of categories presents a ch...",
BIBLIOTHEQUE/05_ML-FNDTNS/SegPoint- Segment Any Point Cloud via Large Language Model,ML-FNDTNS,25,2,3,0,transformer_yes,high,"A@3: # SegPoint: Segment Any Point Cloud via Large Language Model | B@95: As shown in Fig. 3, Geometric Enhancer Module $\mathcal G$ is composed of three blocks, each featuring a KPConv [58] layer followed by BN...",
BIBLIOTHEQUE/05_ML-FNDTNS/Self-Distillation Bridges Distribution Gap in Language Model Fine-Tuning,ML-FNDTNS,13,0,0,0,transformer_yes,high,"A@10: The surge in Large Language Models (LLMs) has revolutionized natural language processing, but fine-tuning them for specific tasks often e...",
BIBLIOTHEQUE/05_ML-FNDTNS/Self-Distillation Enables Continual Learning,ML-FNDTNS,1,0,5,1,hybrid_transformer_yes,high,"A@150: In *Skill Learning*, we study whether a pretrained LLM with broad capabilities can acquire a new, narrowly defined skill without degradin... | D@105: and indeed for all y, we have $\sum_t r_t(y_t \mid y_{< t}, x, c) = r(y, x, c)$ . Finally, we demonstrate that optimizing the policy with...",
BIBLIOTHEQUE/05_ML-FNDTNS/Self-Distilled Reasoner- On-Policy Self-Distillation for Large Language Models,ML-FNDTNS,13,1,29,4,hybrid_transformer_yes,high,"A@1: # Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models | B@399: All experiments were conducted using 8 A100 GPUs with gradient checkpointing and Flash Attention 2 for memory efficiency. We use the Adam... | D@71: Reinforcement learning with verifiable rewards (RLVR) has emerged as a popular approach for post-training large language models, particul...",
BIBLIOTHEQUE/05_ML-FNDTNS/Sequence to Sequence Learning with Neural Networks,ML-FNDTNS,0,0,4,36,transformer_no,medium,D@11: Deep Neural Networks (DNNs) are powerful models that have achieved excellent performance on difficult learning tasks. Although DNNs work ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Set Transformer- A Framework for Attention-based Permutation-Invariant Neural Networks,ML-FNDTNS,23,10,1,1,transformer_yes,high,"A@1: # Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks | B@7: Many machine learning tasks such as multiple instance learning, 3D shape recognition and fewshot image classification are defined on sets... | D@177: Modeling interactions between elements in sets An important reason to use the Transformer is to explicitly model higher-order interaction...",
BIBLIOTHEQUE/05_ML-FNDTNS/Shaping capabilities with token-level data filtering,ML-FNDTNS,7,0,54,0,transformer_yes,high,A@19: Figure 1. Token-level data filtering gets more effective with scale. We plot relative scaling laws that show the effective compute requir...,
BIBLIOTHEQUE/05_ML-FNDTNS/Sharpness-Aware Minimization for Efficiently Improving Generalization (SAM),ML-FNDTNS,2,0,0,0,transformer_yes,high,A@203: | ImageNet | $15.14_{\pm0.03}$ | 15.3 | <b>14.2</b> (KDforAA) | 11.39 $_{\pm 0.02}$ | 11.8 | 11.45 (ViT) |,
BIBLIOTHEQUE/05_ML-FNDTNS/Sigmoid Loss for Language Image Pre-Training,ML-FNDTNS,12,0,3,0,transformer_yes,high,"A@87: where $\mathbf{x}_i = \frac{f(I_i)}{\|f(I_i)\|_2}$ and $\mathbf{y}_i = \frac{g(T_i)}{\|g(T_i)\|_2}$ . In this paper, we adopt the vision ...",
BIBLIOTHEQUE/05_ML-FNDTNS/SIMA 2- A Generalist Embodied Agent for Virtual Worlds,ML-FNDTNS,2,0,0,0,transformer_yes,high,A@23: The next great frontier for artificial intelligence is to move beyond passive understanding to active participation – to create **foundat...,
BIBLIOTHEQUE/05_ML-FNDTNS/Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE),ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@13: In this article we present analytical results concerning certain algorithms for tasks that are associative, meaning that the learner is r...",
BIBLIOTHEQUE/05_ML-FNDTNS/Simultaneous Instance Pooling & Bag Selection for MIL using ViTs,ML-FNDTNS,86,6,6,2,hybrid_transformer_yes,high,"A@5: # Simultaneous instance pooling and bag representation selection approach for multiple-instance learning (MIL) using vision transformer | B@123: The proposed ViT-IWRS consists of four steps. In the first step, we propose a vision transformer-based approach to identify the dependenc... | D@111: This section introduces the related work based on neural network (NN) architectures for MIL. Traditionally, neural networks (NN) for MIL ...",
BIBLIOTHEQUE/05_ML-FNDTNS/SmolVLM- Redefining small and efficient multimodal models,ML-FNDTNS,12,3,23,0,transformer_yes,high,"A@41: **Figure 2** | **SmolVLM Architecture**. Images are split into subimages, frames are sampled from videos, and then encoded into visual fe... | B@73: Following Laurençon et al. (2024), we adopt a self-attention architecture in which visual tokens from the vision encoder are concatenated...",
BIBLIOTHEQUE/05_ML-FNDTNS/Soft Actor-Critic (SAC),ML-FNDTNS,0,0,0,27,transformer_no,medium,D@1: # Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,
BIBLIOTHEQUE/05_ML-FNDTNS/Solving Rubik's Cube with a Robot Hand,ML-FNDTNS,0,0,1,10,transformer_no,medium,D@33: Figure 2: System Overview. (a) We use automatic domain randomization (ADR) to generate a growing distribution of simulations with randomi...,
BIBLIOTHEQUE/05_ML-FNDTNS/Some Considerations on Learning to Explore via Meta-Reinforcement Learning,ML-FNDTNS,0,0,0,19,transformer_no,medium,"D@37: The Meta Reinforcement Learning Objective: In meta reinforcement learning, we consider a family of MDPs $\mathcal{M} = \{M_i\}_{i=1}^N$ w...",
BIBLIOTHEQUE/05_ML-FNDTNS/Spherical Mask- Coarse-to-Fine 3D Point Cloud Instance Segmentation with Spherical Representation,ML-FNDTNS,8,0,0,0,transformer_yes,high,"A@11: Coarse-to-fine 3D instance segmentation methods show weak performances compared to recent Grouping-based, Kernel-based and Transformer-ba...",
BIBLIOTHEQUE/05_ML-FNDTNS/Stabilizing Equilibrium Models by Jacobian Regularization,ML-FNDTNS,17,2,0,0,transformer_yes,high,"A@11: While conventional deep networks like ResNets (He et al., 2016) and Transformers (Vaswani et al., 2017) rely on hierarchical layer stacki... | B@205: One of the very first successes of large-scale DEQs was its Transformer instantiation (Bai et al., 2019), which uses a multi-head self-at...",
BIBLIOTHEQUE/05_ML-FNDTNS/Streaming 4D Panoptic Segmentation via Dual Threads,ML-FNDTNS,2,0,0,2,hybrid_transformer_yes,high,"A@55: In the streaming perception, the inherent challenge lies in predicting results in the future state, in order to minimize the temporal gap... | D@155: where W indicates the memory update function which we use the LSTM [15]. In order to forecast the relative pose m frames ahead for the fu...",
BIBLIOTHEQUE/05_ML-FNDTNS/Supervising strong learners by amplifying weak experts,ML-FNDTNS,5,2,1,1,transformer_yes,high,"A@108: We implement X as an encoder-decoder architecture with self-attention, closely following the Transformer architecture (Vaswani et al., 20... | B@108: We implement X as an encoder-decoder architecture with self-attention, closely following the Transformer architecture (Vaswani et al., 20... | D@122: **Expert Iteration:** our method is very similar to Expert Iteration (ExIt) (Anthony et al., 2017) and AlphaZero (Silver et al., 2017b,a)...",
BIBLIOTHEQUE/05_ML-FNDTNS/Support-Vector Networks,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Swin Transformer V2- Scaling Up Capacity and Resolution,ML-FNDTNS,34,4,16,2,hybrid_transformer_yes,high,"A@1: ## Swin Transformer V2: Scaling Up Capacity and Resolution | B@29: Secondly, many downstream vision tasks such as object detection and semantic segmentation require high resolution input images or large a... | D@41: Vision networks and scaling up CNNs have long been the standard computer vision networks [40, 41]. Since AlexNet [40], architectures have...",
BIBLIOTHEQUE/05_ML-FNDTNS/Synthesis From Examples- Interaction Models and Algorithms,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Synthetic pretraining,ML-FNDTNS,13,0,5,0,transformer_yes,high,A@1: ### Synthetic pretraining Pretraining data infrastructure used to be the most conservative part of a fast-moving AI world. Since GPT-3 we...,
BIBLIOTHEQUE/05_ML-FNDTNS/TableLoRA- Low-rank Adaptation on Table Structure Understanding for Large Language Models,ML-FNDTNS,22,0,19,0,transformer_yes,high,A@1: # TableLoRA: Low-rank Adaptation on Table Structure Understanding for Large Language Models,
"BIBLIOTHEQUE/05_ML-FNDTNS/TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play",ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Teaching Models to Teach Themselves- Reasoning at the Edge of Learnability,ML-FNDTNS,9,0,0,0,transformer_yes,high,A@5: Can a model learn to escape its own learning plateau? Reinforcement learning methods for finetuning large reasoning models stall on datas...,
BIBLIOTHEQUE/05_ML-FNDTNS/Teaching Transformers Modular Arithmetic at Scale,ML-FNDTNS,13,1,3,0,transformer_yes,high,"A@1: # TEACHING TRANSFORMERS MODULAR ARITHMETIC AT SCALE | B@105: Additionally, following Jelassi et al. (2023), we use an encoder-only transformer model, which provides two benefits. First, unlike MLPs ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Technical Note- Q-learning,ML-FNDTNS,0,0,0,14,transformer_no,medium,D@1: # **Technical Note** Q-Learning,
BIBLIOTHEQUE/05_ML-FNDTNS/TensorFlow- Large-Scale Machine Learning on Heterogeneous Distributed Systems,ML-FNDTNS,0,0,1,7,transformer_no,medium,"D@261: The TensorFlow interface and a reference implementation have been open sourced under an Apache 2.0 license, and the system is available f...",
BIBLIOTHEQUE/05_ML-FNDTNS/Test-time Adaptation of Tiny Recursive Models,ML-FNDTNS,9,0,0,0,transformer_yes,high,"A@19: first series of ARC tasks (ARC AGI I) was a brute force search - with heuristics - through a library of operations (e.g. flip, rotate, re...",
BIBLIOTHEQUE/05_ML-FNDTNS/Text and Code Embeddings by Contrastive Pre-Training,ML-FNDTNS,7,2,2,0,transformer_yes,high,"A@17: imize the likelihood of observed data while embedding models are trained to distinguish observed data from noise (Sohn, 2016; van den Oor... | B@108: Previous work on training embedding methods for search typically requires fine-tuning on a particular text search dataset (Karpukhin et a...",
BIBLIOTHEQUE/05_ML-FNDTNS/The Alberta Plan for AI Research,ML-FNDTNS,0,0,0,2,transformer_no,medium,D@74: - 4. Control I: Continual actor-critic control.,
BIBLIOTHEQUE/05_ML-FNDTNS/The Capacity for Moral Self-Correction in Large Language Models,ML-FNDTNS,13,0,0,0,transformer_yes,high,A@1: # The Capacity for Moral Self-Correction in Large Language Models,
BIBLIOTHEQUE/05_ML-FNDTNS/The Hyperfitting Phenomenon- Sharpening and Stabilizing LLMs for Open-Ended Text Generation,ML-FNDTNS,13,0,22,0,transformer_yes,high,A@1: # THE HYPERFITTING PHENOMENON: SHARPENING AND STABILIZING LLMs FOR OPEN-ENDED TEXT GENERATION,
BIBLIOTHEQUE/05_ML-FNDTNS/The Lessons of Developing Process Reward Models...,ML-FNDTNS,30,0,1,0,transformer_yes,high,A@14: Process Reward Models (PRMs) emerge as a promising approach for process supervision in mathematical reasoning of Large Language Models (L...,
BIBLIOTHEQUE/05_ML-FNDTNS/The LLM ARChitect- Solving ARC-AGI Is a Matter of Perspective,ML-FNDTNS,16,0,17,0,transformer_yes,high,A@1: # The LLM ARChitect: Solving ARC-AGI Is A Matter of Perspective,
"BIBLIOTHEQUE/05_ML-FNDTNS/The Lottery Ticket Hypothesis- Finding Sparse, Trainable Neural Networks (LTH)",ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/The perceptron- A perceiving and recognizing automaton,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/The Power of Scale for Parameter-Efficient Prompt Tuning,ML-FNDTNS,17,0,13,0,transformer_yes,high,"A@11: In this work, we explore ""prompt tuning,"" a simple yet effective mechanism for learning ""soft prompts"" to condition frozen language model...",
BIBLIOTHEQUE/05_ML-FNDTNS/The Quantization Model of Neural Scaling,ML-FNDTNS,17,1,12,0,transformer_yes,high,"A@7: We propose the *Quantization Model* of neural scaling laws, explaining both the observed power law dropoff of loss with model and data si... | B@294: When applying QDG to language models, we use gradients within self-attention and MLP layers, but do not include embed, unembed, or layer ...",
BIBLIOTHEQUE/05_ML-FNDTNS/The Rotary Position Embedding May Cause Dimension Inefficiency,ML-FNDTNS,16,0,19,0,transformer_yes,high,A@13: The Rotary Position Embedding (RoPE) is widely used in the attention heads of many large language models (LLM). It rotates dimensions in ...,
BIBLIOTHEQUE/05_ML-FNDTNS/The Unreasonable Effectiveness of Recurrent Neural Networks,ML-FNDTNS,0,0,0,11,transformer_no,medium,"D@27: Each rectangle is a vector and arrows represent functions (e.g. matrix multiply). Input vectors are in red, output vectors are in blue an...",
BIBLIOTHEQUE/05_ML-FNDTNS/Third-Person Imitation Learning,ML-FNDTNS,0,0,0,1,uncertain,low,"D@128: Our generator $(\pi_{\theta})$ step is similar to the generator step in the algorithm by (Ho & Ermon, 2016). We simply use $-\log \mathca...",
BIBLIOTHEQUE/05_ML-FNDTNS/Towards Principled Unsupervised Learning,ML-FNDTNS,0,0,0,4,transformer_no,medium,D@168: We trained an MLP F to map each MNIST digit into a 10-dimensional vector representing their classification. We used generative adversaria...,
BIBLIOTHEQUE/05_ML-FNDTNS/Toy Models of Superposition,ML-FNDTNS,14,0,2,0,transformer_yes,high,A@23: It would be very convenient if the individual neurons of artificial neural networks corresponded to cleanly interpretable features of the...,
BIBLIOTHEQUE/05_ML-FNDTNS/Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,ML-FNDTNS,1,0,0,0,transformer_yes,high,A@89: A question that's often raised about alignment training is whether it will compromise AI capabilities. We find that when RLHF is applied ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Training Compute-Optimal Large Language Models (Chinchilla),ML-FNDTNS,35,0,6,0,transformer_yes,high,A@3: # **Training Compute-Optimal Large Language Models**,
BIBLIOTHEQUE/05_ML-FNDTNS/Training data-efficient image transformers & distillation through attention,ML-FNDTNS,63,8,16,1,transformer_yes,high,"A@1: # Training data-efficient image transformers & distillation through attention | B@43: Despite several attempts to use transformers for image classification (Chen et al., 2020a), until now their performance has been inferior... | D@85: In this section, we assume we have access to a strong image classifier as a teacher model. It could be a convnet, or a mixture of classif...",
BIBLIOTHEQUE/05_ML-FNDTNS/Training language models to follow instructions with human feedback (InstructGPT - RLHF pipeline),ML-FNDTNS,50,0,2,27,hybrid_transformer_yes,high,"A@17: Making language models bigger does not inherently make them better at following a user's intent. For example, large language models can g... | D@29: Figure 1: Human evaluations of various models on our API prompt distribution, evaluated by how often outputs from each model were preferr...",
BIBLIOTHEQUE/05_ML-FNDTNS/Transformer Language Models without Positional Encodings Still Learn Positional Information,ML-FNDTNS,18,6,25,0,transformer_yes,high,"A@1: # Transformer Language Models without Positional Encodings Still Learn Positional Information | B@9: Causal transformer language models (LMs), such as GPT-3, typically require some form of positional encoding, such as positional embedding...",
BIBLIOTHEQUE/05_ML-FNDTNS/Tree-Based Batch Mode Reinforcement Learning,ML-FNDTNS,0,0,0,12,transformer_no,medium,"D@21: from this set a control policy which is as close as possible to an optimal policy. Inspired by the on-line Q-learning paradigm (Watkins, ...",
BIBLIOTHEQUE/05_ML-FNDTNS/True Online Emphatic TD($λ$)- Quick Reference and Implementation Guide,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Trust Region Policy Optimization (TRPO),ML-FNDTNS,0,0,0,11,transformer_no,medium,"D@9: We describe an iterative procedure for optimizing policies, with guaranteed monotonic improvement. By making several approximations to th...",
